;;;;;;81470;;;;;;;;;;;;
дезинфектор;16;0,019639131;;;;;;;;;;;;;;;;
жестянщик;16;0,019639131;;;;;;;;;;;;;;;;
инвалид;16;0,019639131;;;;;;;;;;;;;;;;
лесной сторож;16;0,019639131;;;;;;;;;;;;;;;;
малолетняя;16;0,019639131;;;;;;;;;;;;;;;;
молотобоец;16;0,019639131;;;;;;;;;;;;;;;;
начальник цеха;16;0,019639131;;;;;;;;;;;;;;;;
арендатор;15;0,018411685;;;;;;;;;;;;;;;;
гл.механик;15;0,018411685;;;;;;;;;;;;;;;;
домработница;15;0,018411685;;;;;;;;;;;;;;;;
едминоличное сельское хозяйство;15;0,018411685;;;;;;;;;;;;;;;;
лесовод;15;0,018411685;;;;;;;;;;;;;;;;
профессор;15;0,018411685;;;;;;;;;;;;;;;;
секретарь-машинистка;15;0,018411685;;;;;;;;;;;;;;;;
староста;15;0,018411685;;;;;;;;;;;;;;;;
телеграфистка;15;0,018411685;;;;;;;;;;;;;;;;
гл.инженер;14;0,01718424;;;;;;;;;;;;;;;;
зубной врач;14;0,01718424;;;;;;;;;;;;;;;;
колхознки;14;0,01718424;;;;;;;;;;;;;;;;
командир отделения;14;0,01718424;;;;;;;;;;;;;;;;
лаборант;14;0,01718424;;;;;;;;;;;;;;;;
медфельдшер;14;0,01718424;;;;;;;;;;;;;;;;
монашка;14;0,01718424;;;;;;;;;;;;;;;;
писатель;14;0,01718424;;;;;;;;;;;;;;;;
полевод;14;0,01718424;;;;;;;;;;;;;;;;
регистратор;14;0,01718424;;;;;;;;;;;;;;;;
счетный работник;14;0,01718424;;;;;;;;;;;;;;;;
упаковщик;14;0,01718424;;;;;;;;;;;;;;;;
актер;13;0,015956794;;;;;;;;;;;;;;;;
вет.фельдшер;13;0,015956794;;;;;;;;;;;;;;;;
зав.базой;13;0,015956794;;;;;;;;;;;;;;;;
матрос;13;0,015956794;;;;;;;;;;;;;;;;
нормировщик;13;0,015956794;;;;;;;;;;;;;;;;
официант;13;0,015956794;;;;;;;;;;;;;;;;
почтовый агент;13;0,015956794;;;;;;;;;;;;;;;;
служитель;13;0,015956794;;;;;;;;;;;;;;;;
слушатель;13;0,015956794;;;;;;;;;;;;;;;;
ст.кондуктор;13;0,015956794;;;;;;;;;;;;;;;;
техничка;13;0,015956794;;;;;;;;;;;;;;;;
чертежник;13;0,015956794;;;;;;;;;;;;;;;;
экономист-плановик;13;0,015956794;;;;;;;;;;;;;;;;
автомеханик;12;0,014729348;;;;;;;;;;;;;;;;
военрук;12;0,014729348;;;;;;;;;;;;;;;;
воспитатель;12;0,014729348;;;;;;;;;;;;;;;;
лаборантка;12;0,014729348;;;;;;;;;;;;;;;;
лесотехник;12;0,014729348;;;;;;;;;;;;;;;;
мастер-стеклодув;12;0,014729348;;;;;;;;;;;;;;;;
машинист паровоза;12;0,014729348;;;;;;;;;;;;;;;;
научный работник;12;0,014729348;;;;;;;;;;;;;;;;
огородник;12;0,014729348;;;;;;;;;;;;;;;;
плановик-экономист;12;0,014729348;;;;;;;;;;;;;;;;
приказчик;12;0,014729348;;;;;;;;;;;;;;;;
редактор;12;0,014729348;;;;;;;;;;;;;;;;
ремонтер;12;0,014729348;;;;;;;;;;;;;;;;
ст.агроном;12;0,014729348;;;;;;;;;;;;;;;;
ст.экономист;12;0,014729348;;;;;;;;;;;;;;;;
статистик;12;0,014729348;;;;;;;;;;;;;;;;
электротехник;12;0,014729348;;;;;;;;;;;;;;;;
бакенщик;11;0,013501903;;;;;;;;;;;;;;;;
без определенного места работы;11;0,013501903;;;;;;;;;;;;;;;;
бетонщик;11;0,013501903;;;;;;;;;;;;;;;;
дежурный по станции;11;0,013501903;;;;;;;;;;;;;;;;
зав.учебной частью;11;0,013501903;;;;;;;;;;;;;;;;
землепашец;11;0,013501903;;;;;;;;;;;;;;;;
пом.лесничего;11;0,013501903;;;;;;;;;;;;;;;;
пом.мастера;11;0,013501903;;;;;;;;;;;;;;;;
слесарь-водопроводчик;11;0,013501903;;;;;;;;;;;;;;;;
сплавщик леса;11;0,013501903;;;;;;;;;;;;;;;;
ст.инженер;11;0,013501903;;;;;;;;;;;;;;;;
ст.механик;11;0,013501903;;;;;;;;;;;;;;;;
строгальщик;11;0,013501903;;;;;;;;;;;;;;;;
ассенизатор;10;0,012274457;;;;;;;;;;;;;;;;
главный кондуктор;10;0,012274457;;;;;;;;;;;;;;;;
завскладом;10;0,012274457;;;;;;;;;;;;;;;;
инженер-технолог;10;0,012274457;;;;;;;;;;;;;;;;
кожевник;10;0,012274457;;;;;;;;;;;;;;;;
корректор;10;0,012274457;;;;;;;;;;;;;;;;
мед.фельдшер;10;0,012274457;;;;;;;;;;;;;;;;
нач.участка;10;0,012274457;;;;;;;;;;;;;;;;
несовершеннолетняя;10;0,012274457;;;;;;;;;;;;;;;;
объезчик;10;0,012274457;;;;;;;;;;;;;;;;
путевой сторож;10;0,012274457;;;;;;;;;;;;;;;;
руководитель;10;0,012274457;;;;;;;;;;;;;;;;
сплавщик;10;0,012274457;;;;;;;;;;;;;;;;
ст.конюх;10;0,012274457;;;;;;;;;;;;;;;;
ст.товаровед;10;0,012274457;;;;;;;;;;;;;;;;
сцепщик;10;0,012274457;;;;;;;;;;;;;;;;
аспирант;9;0,011047011;;;;;;;;;;;;;;;;
буфетчик;9;0,011047011;;;;;;;;;;;;;;;;
владелец имения;9;0,011047011;;;;;;;;;;;;;;;;
гончар;9;0,011047011;;;;;;;;;;;;;;;;
зав. складом;9;0,011047011;;;;;;;;;;;;;;;;
зав.производством;9;0,011047011;;;;;;;;;;;;;;;;
ком.взвода;9;0,011047011;;;;;;;;;;;;;;;;
кучер;9;0,011047011;;;;;;;;;;;;;;;;
мастер цеха;9;0,011047011;;;;;;;;;;;;;;;;
нарком;9;0,011047011;;;;;;;;;;;;;;;;
нач.штаба;9;0,011047011;;;;;;;;;;;;;;;;
начальник отдела;9;0,011047011;;;;;;;;;;;;;;;;
плотник-столяр;9;0,011047011;;;;;;;;;;;;;;;;
председатель сельсовета;9;0,011047011;;;;;;;;;;;;;;;;
продавщица;9;0,011047011;;;;;;;;;;;;;;;;
рассыльный;9;0,011047011;;;;;;;;;;;;;;;;
служащая;9;0,011047011;;;;;;;;;;;;;;;;
строитель;9;0,011047011;;;;;;;;;;;;;;;;
техник-механик;9;0,011047011;;;;;;;;;;;;;;;;
фрезеровщик;9;0,011047011;;;;;;;;;;;;;;;;
швея;9;0,011047011;;;;;;;;;;;;;;;;
щетинщик;9;0,011047011;;;;;;;;;;;;;;;;
юристконсульт;9;0,011047011;;;;;;;;;;;;;;;;
автослесарь;8;0,009819565;;;;;;;;;;;;;;;;
ветсанитар;8;0,009819565;;;;;;;;;;;;;;;;
врач-хирург;8;0,009819565;;;;;;;;;;;;;;;;
временно не работала;8;0,009819565;;;;;;;;;;;;;;;;
гл.врач;8;0,009819565;;;;;;;;;;;;;;;;
домашняя хозяйка;8;0,009819565;;;;;;;;;;;;;;;;
дорож.мастер;8;0,009819565;;;;;;;;;;;;;;;;
зав.склада;8;0,009819565;;;;;;;;;;;;;;;;
зам.заведующего;8;0,009819565;;;;;;;;;;;;;;;;
зам.наркома;8;0,009819565;;;;;;;;;;;;;;;;
землекоп;8;0,009819565;;;;;;;;;;;;;;;;
зубной техник;8;0,009819565;;;;;;;;;;;;;;;;
инструментальщик;8;0,009819565;;;;;;;;;;;;;;;;
канцелярист;8;0,009819565;;;;;;;;;;;;;;;;
колесник;8;0,009819565;;;;;;;;;;;;;;;;
кондитер;8;0,009819565;;;;;;;;;;;;;;;;
красильщик;8;0,009819565;;;;;;;;;;;;;;;;
кровельщик;8;0,009819565;;;;;;;;;;;;;;;;
лейтенант;8;0,009819565;;;;;;;;;;;;;;;;
надсмотрщик;8;0,009819565;;;;;;;;;;;;;;;;
