;ARESTDATE;австриец;австрийка;арм€нин;ассириец;афганец;белорус;бельгиец;болгарин;венгр;голландец;грек;грузин;грузинка;еврей;зыр€нин;италь€нец;калмык;карачаевец;карел;китаец;кореец;латгалец;латыш;литвин;литовец;мадь€р;молдаванин;мордвин;немец;немка;осетин;пол€к;пусто;румын;русский;серб;словак;татарин;татарка;турок;узбек;украинец;финн;француз;хорват;цыган;чех;чешка;чуваш;эстонец;эстонка
24;1942;0,0;0,0;0,0;0,0;0,0;129,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;1,0;0,0;19,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
25;1943;0,0;0,0;0,0;0,0;0,0;129,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,0;1,0;0,0;13,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
26;1944;0,0;0,0;0,0;0,0;0,0;1065,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;4,0;0,0;0,0;0,0;2,0;1,0;0,0;395,0;1,0;0,0;178,0;0,0;0,0;6,0;3,0;0,0;0,0;79,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;1,0;0,0
27;1945;1,0;0,0;1,0;0,0;0,0;2997,0;1,0;1,0;1,0;1,0;0,0;0,0;0,0;10,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,0;0,0;13,0;0,0;2,0;0,0;8,0;10,0;0,0;1709,0;19,0;0,0;328,0;0,0;1,0;5,0;0,0;1,0;0,0;134,0;0,0;0,0;0,0;0,0;1,0;1,0;1,0;0,0;1,0
28;1946;0,0;0,0;0,0;1,0;0,0;468,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;2,0;1,0;0,0;432,0;8,0;0,0;40,0;0,0;0,0;2,0;0,0;0,0;0,0;22,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
29;1947;0,0;0,0;0,0;0,0;0,0;251,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;2,0;0,0;0,0;85,0;4,0;0,0;29,0;0,0;0,0;0,0;0,0;0,0;0,0;11,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
30;1948;0,0;0,0;0,0;0,0;0,0;277,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;1,0;1,0;1,0;0,0;87,0;1,0;0,0;31,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
31;1949;0,0;0,0;0,0;0,0;0,0;554,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;35,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;0,0;5,0;4,0;0,0;203,0;11,0;0,0;53,0;0,0;0,0;1,0;0,0;0,0;0,0;19,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
32;1950;0,0;0,0;0,0;0,0;0,0;414,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;2,0;0,0;0,0;148,0;4,0;0,0;24,0;0,0;0,0;0,0;1,0;0,0;0,0;12,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
33;1951;0,0;0,0;0,0;0,0;0,0;416,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;27,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;4,0;0,0;0,0;0,0;0,0;1,0;0,0;149,0;5,0;0,0;30,0;0,0;0,0;0,0;0,0;0,0;0,0;12,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
